date,team1,team2,venue,city,toss_winner,toss_decision,winner
2020-10-16,Kolkata Knight Riders,Mumbai Indians,Sheikh Zayed Stadium,Abu Dhabi,Kolkata Knight Riders,bat,Mumbai Indians
2020-10-17,Chennai Super Kings,Delhi Capitals,Sharjah Cricket Stadium,,Chennai Super Kings,bat,Delhi Capitals
2020-10-17,Rajasthan Royals,Royal Challengers Bangalore,Dubai International Cricket Stadium,,Rajasthan Royals,bat,Royal Challengers Bangalore
2020-10-19,Chennai Super Kings,Rajasthan Royals,Sheikh Zayed Stadium,Abu Dhabi,Chennai Super Kings,bat,Rajasthan Royals
2020-10-20,Delhi Capitals,Kings XI Punjab,Dubai International Cricket Stadium,,Delhi Capitals,bat,Kings XI Punjab
2020-10-21,Kolkata Knight Riders,Royal Challengers Bangalore,Sheikh Zayed Stadium,Abu Dhabi,Kolkata Knight Riders,bat,Royal Challengers Bangalore
2020-10-22,Rajasthan Royals,Sunrisers Hyderabad,Dubai International Cricket Stadium,,Sunrisers Hyderabad,field,Sunrisers Hyderabad
2020-10-23,Chennai Super Kings,Mumbai Indians,Sharjah Cricket Stadium,,Mumbai Indians,field,Mumbai Indians
2020-10-24,Delhi Capitals,Kolkata Knight Riders,Sheikh Zayed Stadium,Abu Dhabi,Delhi Capitals,field,Kolkata Knight Riders
2020-10-24,Kings XI Punjab,Sunrisers Hyderabad,Dubai International Cricket Stadium,,Sunrisers Hyderabad,field,Kings XI Punjab
2020-10-25,Chennai Super Kings,Royal Challengers Bangalore,Dubai International Cricket Stadium,,Royal Challengers Bangalore,bat,Chennai Super Kings
2020-10-25,Mumbai Indians,Rajasthan Royals,Sheikh Zayed Stadium,Abu Dhabi,Mumbai Indians,bat,Rajasthan Royals
2020-10-26,Kings XI Punjab,Kolkata Knight Riders,Sharjah Cricket Stadium,,Kings XI Punjab,field,Kings XI Punjab
2020-10-27,Delhi Capitals,Sunrisers Hyderabad,Dubai International Cricket Stadium,,Delhi Capitals,field,Sunrisers Hyderabad
2020-10-28,Mumbai Indians,Royal Challengers Bangalore,Sheikh Zayed Stadium,Abu Dhabi,Mumbai Indians,field,Mumbai Indians
2020-10-29,Chennai Super Kings,Kolkata Knight Riders,Dubai International Cricket Stadium,,Chennai Super Kings,field,Chennai Super Kings
2020-10-30,Kings XI Punjab,Rajasthan Royals,Sheikh Zayed Stadium,Abu Dhabi,Rajasthan Royals,field,Rajasthan Royals
2020-10-31,Royal Challengers Bangalore,Sunrisers Hyderabad,Sharjah Cricket Stadium,,Sunrisers Hyderabad,field,Sunrisers Hyderabad
2020-10-31,Delhi Capitals,Mumbai Indians,Dubai International Cricket Stadium,,Mumbai Indians,field,Mumbai Indians
2020-11-01,Kolkata Knight Riders,Rajasthan Royals,Dubai International Cricket Stadium,,Rajasthan Royals,field,Kolkata Knight Riders
2020-11-01,Chennai Super Kings,Kings XI Punjab,Sheikh Zayed Stadium,Abu Dhabi,Chennai Super Kings,field,Chennai Super Kings
2020-11-02,Delhi Capitals,Royal Challengers Bangalore,Sheikh Zayed Stadium,Abu Dhabi,Delhi Capitals,field,Delhi Capitals
2020-11-03,Mumbai Indians,Sunrisers Hyderabad,Sharjah Cricket Stadium,,Sunrisers Hyderabad,field,Sunrisers Hyderabad
2020-11-05,Delhi Capitals,Mumbai Indians,Dubai International Cricket Stadium,,Delhi Capitals,field,Mumbai Indians
2020-11-06,Royal Challengers Bangalore,Sunrisers Hyderabad,Sheikh Zayed Stadium,Abu Dhabi,Sunrisers Hyderabad,field,Sunrisers Hyderabad
2020-11-08,Delhi Capitals,Sunrisers Hyderabad,Sheikh Zayed Stadium,Abu Dhabi,Delhi Capitals,bat,Delhi Capitals
2020-11-10,Delhi Capitals,Mumbai Indians,Dubai International Cricket Stadium,,Delhi Capitals,bat,Mumbai Indians
2021-04-09,Mumbai Indians,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2021-04-10,Chennai Super Kings,Delhi Capitals,"Wankhede Stadium, Mumbai",Mumbai,Delhi Capitals,field,Delhi Capitals
2021-04-11,Kolkata Knight Riders,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Sunrisers Hyderabad,field,Kolkata Knight Riders
2021-04-12,Punjab Kings,Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai,Rajasthan Royals,field,Punjab Kings
2021-04-13,Kolkata Knight Riders,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Kolkata Knight Riders,field,Mumbai Indians
2021-04-14,Royal Challengers Bangalore,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Sunrisers Hyderabad,field,Royal Challengers Bangalore
2021-04-15,Delhi Capitals,Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai,Rajasthan Royals,field,Rajasthan Royals
2021-04-16,Chennai Super Kings,Punjab Kings,"Wankhede Stadium, Mumbai",Mumbai,Chennai Super Kings,field,Chennai Super Kings
2021-04-17,Mumbai Indians,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Mumbai Indians,bat,Mumbai Indians
2021-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
2021-04-18,Delhi Capitals,Punjab Kings,"Wankhede Stadium, Mumbai",Mumbai,Delhi Capitals,field,Delhi Capitals
2021-04-19,Chennai Super Kings,Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai,Rajasthan Royals,field,Chennai Super Kings
2021-04-20,Delhi Capitals,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Mumbai Indians,bat,Delhi Capitals
2021-04-21,Punjab Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Punjab Kings,bat,Sunrisers Hyderabad
2021-04-21,Chennai Super Kings,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai,Kolkata Knight Riders,field,Chennai Super Kings
2021-04-22,Rajasthan Royals,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2021-04-23,Mumbai Indians,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Punjab Kings,field,Punjab Kings
2021-04-24,Kolkata Knight Riders,Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai,Rajasthan Royals,field,Rajasthan Royals
2021-04-25,Chennai Super Kings,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai,Chennai Super Kings,bat,Chennai Super Kings
2021-04-26,Kolkata Knight Riders,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Kolkata Knight Riders,field,Kolkata Knight Riders
2021-04-27,Delhi Capitals,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Delhi Capitals,field,Royal Challengers Bangalore
2021-04-28,Chennai Super Kings,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",Delhi,Sunrisers Hyderabad,bat,Chennai Super Kings
2021-04-29,Delhi Capitals,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Delhi Capitals,field,Delhi Capitals
2021-04-29,Mumbai Indians,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Delhi,Mumbai Indians,field,Mumbai Indians
2021-04-30,Punjab Kings,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Royal Challengers Bangalore,field,Punjab Kings
2021-05-01,Chennai Super Kings,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Delhi,Mumbai Indians,field,Mumbai Indians
2021-05-02,Rajasthan Royals,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",Delhi,Sunrisers Hyderabad,field,Rajasthan Royals
2021-05-02,Delhi Capitals,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Delhi Capitals,field,Delhi Capitals
2021-09-19,Chennai Super Kings,Mumbai Indians,Dubai International Cricket Stadium,Dubai,Chennai Super Kings,bat,Chennai Super Kings
2021-09-20,Kolkata Knight Riders,Royal Challengers Bangalore,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Royal Challengers Bangalore,bat,Kolkata Knight Riders
2021-09-21,Punjab Kings,Rajasthan Royals,Dubai International Cricket Stadium,Dubai,Punjab Kings,field,Rajasthan Royals
2021-09-22,Delhi Capitals,Sunrisers Hyderabad,Dubai International Cricket Stadium,Dubai,Sunrisers Hyderabad,bat,Delhi Capitals
2021-09-23,Kolkata Knight Riders,Mumbai Indians,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Kolkata Knight Riders,field,Kolkata Knight Riders
2021-09-24,Chennai Super Kings,Royal Challengers Bangalore,Sharjah Cricket Stadium,Sharjah,Chennai Super Kings,field,Chennai Super Kings
2021-09-25,Punjab Kings,Sunrisers Hyderabad,Sharjah Cricket Stadium,Sharjah,Sunrisers Hyderabad,field,Punjab Kings
2021-09-25,Delhi Capitals,Rajasthan Royals,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Rajasthan Royals,field,Delhi Capitals
2021-09-26,Mumbai Indians,Royal Challengers Bangalore,Dubai International Cricket Stadium,Dubai,Mumbai Indians,field,Royal Challengers Bangalore
2021-09-26,Chennai Super Kings,Kolkata Knight Riders,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Kolkata Knight Riders,bat,Chennai Super Kings
2021-09-27,Rajasthan Royals,Sunrisers Hyderabad,Dubai International Cricket Stadium,Dubai,Rajasthan Royals,bat,Sunrisers Hyderabad
2021-09-28,Mumbai Indians,Punjab Kings,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Mumbai Indians,field,Mumbai Indians
2021-09-28,Delhi Capitals,Kolkata Knight Riders,Sharjah Cricket Stadium,Sharjah,Kolkata Knight Riders,field,Kolkata Knight Riders
2021-09-29,Rajasthan Royals,Royal Challengers Bangalore,Dubai International Cricket Stadium,Dubai,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2021-09-30,Chennai Super Kings,Sunrisers Hyderabad,Sharjah Cricket Stadium,Sharjah,Chennai Super Kings,field,Chennai Super Kings
2021-10-01,Kolkata Knight Riders,Punjab Kings,Dubai International Cricket Stadium,Dubai,Punjab Kings,field,Punjab Kings
2021-10-02,Chennai Super Kings,Rajasthan Royals,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Rajasthan Royals,field,Rajasthan Royals
2021-10-02,Delhi Capitals,Mumbai Indians,Sharjah Cricket Stadium,Sharjah,Delhi Capitals,field,Delhi Capitals
2021-10-03,Punjab Kings,Royal Challengers Bangalore,Sharjah Cricket Stadium,Sharjah,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
2021-10-03,Kolkata Knight Riders,Sunrisers Hyderabad,Dubai International Cricket Stadium,Dubai,Sunrisers Hyderabad,bat,Kolkata Knight Riders
2021-10-04,Chennai Super Kings,Delhi Capitals,Dubai International Cricket Stadium,Dubai,Delhi Capitals,field,Delhi Capitals
2021-10-05,Mumbai Indians,Rajasthan Royals,Sharjah Cricket Stadium,Sharjah,Mumbai Indians,field,Mumbai Indians
2021-10-06,Royal Challengers Bangalore,Sunrisers Hyderabad,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Royal Challengers Bangalore,field,Sunrisers Hyderabad
2021-10-07,Chennai Super Kings,Punjab Kings,Dubai International Cricket Stadium,Dubai,Punjab Kings,field,Punjab Kings
2021-10-07,Kolkata Knight Riders,Rajasthan Royals,Sharjah Cricket Stadium,Sharjah,Rajasthan Royals,field,Kolkata Knight Riders
2021-10-08,Delhi Capitals,Royal Challengers Bangalore,Dubai International Cricket Stadium,Dubai,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2021-10-08,Mumbai Indians,Sunrisers Hyderabad,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Mumbai Indians,bat,Mumbai Indians
2021-10-10,Chennai Super Kings,Delhi Capitals,Dubai International Cricket Stadium,Dubai,Chennai Super Kings,field,Chennai Super Kings
2021-10-11,Kolkata Knight Riders,Royal Challengers Bangalore,Sharjah Cricket Stadium,Sharjah,Royal Challengers Bangalore,bat,Kolkata Knight Riders
2021-10-13,Delhi Capitals,Kolkata Knight Riders,Sharjah Cricket Stadium,Sharjah,Kolkata Knight Riders,field,Kolkata Knight Riders
2021-10-15,Chennai Super Kings,Kolkata Knight Riders,Dubai International Cricket Stadium,Dubai,Kolkata Knight Riders,field,Chennai Super Kings
2022-03-26,Chennai Super Kings,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai,Kolkata Knight Riders,field,Kolkata Knight Riders
2022-03-27,Delhi Capitals,Mumbai Indians,"Brabourne Stadium, Mumbai",Mumbai,Delhi Capitals,field,Delhi Capitals
2022-03-27,Punjab Kings,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Punjab Kings,field,Punjab Kings
2022-03-28,Gujarat Titans,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Mumbai,Gujarat Titans,field,Gujarat Titans
2022-03-29,Rajasthan Royals,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",Pune,Sunrisers Hyderabad,field,Rajasthan Royals
2022-03-30,Kolkata Knight Riders,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2022-03-31,Chennai Super Kings,Lucknow Super Giants,"Brabourne Stadium, Mumbai",Mumbai,Lucknow Super Giants,field,Lucknow Super Giants
2022-04-01,Kolkata Knight Riders,Punjab Kings,"Wankhede Stadium, Mumbai",Mumbai,Kolkata Knight Riders,field,Kolkata Knight Riders
2022-04-02,Delhi Capitals,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",Pune,Delhi Capitals,field,Gujarat Titans
2022-04-02,Mumbai Indians,Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Mumbai Indians,field,Rajasthan Royals
2022-04-03,Chennai Super Kings,Punjab Kings,"Brabourne Stadium, Mumbai",Mumbai,Chennai Super Kings,field,Punjab Kings
2022-04-04,Lucknow Super Giants,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Sunrisers Hyderabad,field,Lucknow Super Giants
2022-04-05,Rajasthan Royals,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2022-04-06,Kolkata Knight Riders,Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",Pune,Kolkata Knight Riders,field,Kolkata Knight Riders
2022-04-07,Delhi Capitals,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Lucknow Super Giants,field,Lucknow Super Giants
2022-04-08,Gujarat Titans,Punjab Kings,"Brabourne Stadium, Mumbai",Mumbai,Gujarat Titans,field,Gujarat Titans
2022-04-09,Chennai Super Kings,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Sunrisers Hyderabad,field,Sunrisers Hyderabad
2022-04-09,Mumbai Indians,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",Pune,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2022-04-10,Delhi Capitals,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",Mumbai,Kolkata Knight Riders,field,Delhi Capitals
2022-04-10,Lucknow Super Giants,Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai,Lucknow Super Giants,field,Rajasthan Royals
2022-04-11,Gujarat Titans,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Sunrisers Hyderabad,field,Sunrisers Hyderabad
2022-04-12,Chennai Super Kings,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Royal Challengers Bangalore,field,Chennai Super Kings
2022-04-13,Mumbai Indians,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",Pune,Mumbai Indians,field,Punjab Kings
2022-04-14,Gujarat Titans,Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Rajasthan Royals,field,Gujarat Titans
2022-04-15,Kolkata Knight Riders,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Mumbai,Sunrisers Hyderabad,field,Sunrisers Hyderabad
2022-04-16,Lucknow Super Giants,Mumbai Indians,"Brabourne Stadium, Mumbai",Mumbai,Mumbai Indians,field,Lucknow Super Giants
2022-04-16,Delhi Capitals,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai,Delhi Capitals,field,Royal Challengers Bangalore
2022-04-17,Punjab Kings,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Sunrisers Hyderabad,field,Sunrisers Hyderabad
2022-04-17,Chennai Super Kings,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",Pune,Gujarat Titans,field,Gujarat Titans
2022-04-18,Kolkata Knight Riders,Rajasthan Royals,"Brabourne Stadium, Mumbai",Mumbai,Kolkata Knight Riders,field,Rajasthan Royals
2022-04-19,Lucknow Super Giants,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Lucknow Super Giants,field,Royal Challengers Bangalore
2022-04-20,Delhi Capitals,Punjab Kings,"Brabourne Stadium, Mumbai",Mumbai,Delhi Capitals,field,Delhi Capitals
2022-04-21,Chennai Super Kings,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Chennai Super Kings,field,Chennai Super Kings
2022-04-22,Delhi Capitals,Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai,Delhi Capitals,field,Rajasthan Royals
2022-04-23,Gujarat Titans,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Gujarat Titans,bat,Gujarat Titans
2022-04-23,Royal Challengers Bangalore,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Mumbai,Sunrisers Hyderabad,field,Sunrisers Hyderabad
2022-04-24,Lucknow Super Giants,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,field,Lucknow Super Giants
2022-04-25,Chennai Super Kings,Punjab Kings,"Wankhede Stadium, Mumbai",Mumbai,Chennai Super Kings,field,Punjab Kings
2022-04-26,Rajasthan Royals,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",Pune,Royal Challengers Bangalore,field,Rajasthan Royals
2022-04-27,Gujarat Titans,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Mumbai,Gujarat Titans,field,Gujarat Titans
2022-04-28,Delhi Capitals,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai,Delhi Capitals,field,Delhi Capitals
2022-04-29,Lucknow Super Giants,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",Pune,Punjab Kings,field,Lucknow Super Giants
2022-04-30,Gujarat Titans,Royal Challengers Bangalore,"Brabourne Stadium, Mumbai",Mumbai,Royal Challengers Bangalore,bat,Gujarat Titans
2022-04-30,Mumbai Indians,Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Mumbai Indians,field,Mumbai Indians
2022-05-01,Delhi Capitals,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Mumbai,Lucknow Super Giants,bat,Lucknow Super Giants
2022-05-01,Chennai Super Kings,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",Pune,Sunrisers Hyderabad,field,Chennai Super Kings
2022-05-02,Kolkata Knight Riders,Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai,Kolkata Knight Riders,field,Kolkata Knight Riders
2022-05-03,Gujarat Titans,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Gujarat Titans,bat,Punjab Kings
2022-05-04,Chennai Super Kings,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",Pune,Chennai Super Kings,field,Royal Challengers Bangalore
2022-05-05,Delhi Capitals,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Mumbai,Sunrisers Hyderabad,field,Delhi Capitals
2022-05-06,Gujarat Titans,Mumbai Indians,"Brabourne Stadium, Mumbai",Mumbai,Gujarat Titans,field,Mumbai Indians
2022-05-07,Punjab Kings,Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai,Punjab Kings,bat,Rajasthan Royals
2022-05-07,Kolkata Knight Riders,Lucknow Super Giants,"Maharashtra Cricket Association Stadium, Pune",Pune,Kolkata Knight Riders,field,Lucknow Super Giants
2022-05-08,Royal Challengers Bangalore,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Mumbai,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
2022-05-08,Chennai Super Kings,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Delhi Capitals,field,Chennai Super Kings
2022-05-09,Kolkata Knight Riders,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Mumbai Indians,field,Kolkata Knight Riders
2022-05-10,Gujarat Titans,Lucknow Super Giants,"Maharashtra Cricket Association Stadium, Pune",Pune,Gujarat Titans,bat,Gujarat Titans
2022-05-11,Delhi Capitals,Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Delhi Capitals,field,Delhi Capitals
2022-05-12,Chennai Super Kings,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,field,Mumbai Indians
2022-05-13,Punjab Kings,Royal Challengers Bangalore,"Brabourne Stadium, Mumbai",Mumbai,Royal Challengers Bangalore,field,Punjab Kings
2022-05-14,Kolkata Knight Riders,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",Pune,Kolkata Knight Riders,bat,Kolkata Knight Riders
2022-05-15,Chennai Super Kings,Gujarat Titans,"Wankhede Stadium, Mumbai",Mumbai,Chennai Super Kings,bat,Gujarat Titans
2022-05-15,Lucknow Super Giants,Rajasthan Royals,"Brabourne Stadium, Mumbai",Mumbai,Rajasthan Royals,bat,Rajasthan Royals
2022-05-16,Delhi Capitals,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Punjab Kings,field,Delhi Capitals
2022-05-17,Mumbai Indians,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,field,Sunrisers Hyderabad
2022-05-18,Kolkata Knight Riders,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Lucknow Super Giants,bat,Lucknow Super Giants
2022-05-19,Gujarat Titans,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai,Gujarat Titans,bat,Royal Challengers Bangalore
2022-05-20,Chennai Super Kings,Rajasthan Royals,"Brabourne Stadium, Mumbai",Mumbai,Chennai Super Kings,bat,Rajasthan Royals
2022-05-21,Delhi Capitals,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,field,Mumbai Indians
2022-05-22,Punjab Kings,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Mumbai,Sunrisers Hyderabad,bat,Punjab Kings
2022-05-24,Gujarat Titans,Rajasthan Royals,"Eden Gardens, Kolkata",Kolkata,Gujarat Titans,field,Gujarat Titans
2022-05-25,Lucknow Super Giants,Royal Challengers Bangalore,"Eden Gardens, Kolkata",Kolkata,Lucknow Super Giants,field,Royal Challengers Bangalore
2022-05-27,Rajasthan Royals,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Rajasthan Royals,field,Rajasthan Royals
2022-05-29,Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Rajasthan Royals,bat,Gujarat Titans
2023-03-31,Chennai Super Kings,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Gujarat Titans,field,Gujarat Titans
2023-04-01,Kolkata Knight Riders,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,Kolkata Knight Riders,field,Punjab Kings
2023-04-01,Delhi Capitals,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,Delhi Capitals,field,Lucknow Super Giants
2023-04-02,Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Sunrisers Hyderabad,field,Rajasthan Royals
2023-04-02,Mumbai Indians,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2023-04-03,Chennai Super Kings,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Lucknow Super Giants,field,Chennai Super Kings
2023-04-04,Delhi Capitals,Gujarat Titans,"Arun Jaitley Stadium, Delhi",Delhi,Gujarat Titans,field,Gujarat Titans
2023-04-05,Punjab Kings,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",Guwahati,Rajasthan Royals,field,Punjab Kings
2023-04-06,Kolkata Knight Riders,Royal Challengers Bangalore,"Eden Gardens, Kolkata",Kolkata,Royal Challengers Bangalore,field,Kolkata Knight Riders
2023-04-07,Lucknow Super Giants,Sunrisers Hyderabad,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,Sunrisers Hyderabad,bat,Lucknow Super Giants
2023-04-08,Delhi Capitals,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",Guwahati,Delhi Capitals,field,Rajasthan Royals
2023-04-08,Chennai Super Kings,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai,Chennai Super Kings,field,Chennai Super Kings
2023-04-09,Gujarat Titans,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Gujarat Titans,bat,Kolkata Knight Riders
2023-04-09,Punjab Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
2023-04-10,Lucknow Super Giants,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Lucknow Super Giants,field,Lucknow Super Giants
2023-04-11,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Delhi,Mumbai Indians,field,Mumbai Indians
2023-04-12,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Chennai Super Kings,field,Rajasthan Royals
2023-04-13,Gujarat Titans,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,Gujarat Titans,field,Gujarat Titans
2023-04-14,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,field,Sunrisers Hyderabad
2023-04-15,Delhi Capitals,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Delhi Capitals,field,Royal Challengers Bangalore
2023-04-15,Lucknow Super Giants,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,Punjab Kings,field,Punjab Kings
2023-04-16,Kolkata Knight Riders,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,field,Mumbai Indians
2023-04-16,Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Rajasthan Royals,field,Rajasthan Royals
